Well,Sample Name,Detector,Avg Ct,Mid Ct
A9,,G,25.315914,28.151352714209093
A10,,B,26.949108,31.687641379103763
B9,,G,25.315914,27.50686686464593
B10,,B,26.949108,30.44173104852158
C9,,G,25.315914,27.012567448502082
C10,,B,26.949108,29.05794939020822
D9,,G,25.315914,27.868930512516354
D10,,B,26.949108,30.778260902439893
E9,,G,25.315914,27.98460037629167
E10,,B,26.949108,29.360100183999666
F9,,G,25.315914,27.48762792515728
F10,,B,26.949108,30.208239580846417
G9,,G,25.315914,27.004633128675103
G10,,B,26.949108,29.07569285906813
H9,,G,25.315914,27.888442737958773
H10,,B,26.949108,28.95428706794399
